,q_id,target,context_text,response_text,all_score
12,dd11869_3_dd13057_0,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']","Good morning, sir. Can I help you?","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
13,dd11869_3_dd11801_8,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']",See you.,"[5.0, 4.0, 4.0]"
14,dd11869_3_dd11197_1,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']","I had it right here a minute ago, Mr. Emory. Umm. Just a minute...","[3.0, 4.0, 2.0, 2.0, 3.0]"
15,dd11869_3_dd12358_5,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']",Certainly. No one can match us as far as speed is concerned.,"[5.0, 2.0, 1.0, 2.0, 3.0]"
16,dd11869_3_dd12738_1,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']","Yes, I did some part-time jobs such as English tutor, salesman, and model.","[1.0, 1.0, 1.0, 2.0]"
17,dd11869_3_dd11919_0,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']","I find it really hard to express myself in class. I have lots of ideas, but they never seem to come out of my mouth.",[1.0]
18,dd11869_3_dd12120_3,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']",I think I've got used to work under pressure. I will adjust myself to the step of your newspaper quickly.,"[1.0, 1.0]"
19,dd11869_3_dd12291_8,0.0,"[""Sounds great, I'd very much like to accept your invitation, thanks, when?"", 'Around six pm.']",Sure. While you're in the computer store. I will visit the book store opposite. I like to browse through their books and see if they have anything interesting.,"[2.0, 4.0, 4.0, 1.0, 3.0]"
20,dd11791_5_dd11791_6,1.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']","Alright, tell me about the ties you have to your home country.","[5.0, 2.0, 4.0, 4.0, 4.0, 4.0]"
21,dd11791_5_dd12909_2,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']","It's. I think, neighbours on the right.","[1.0, 1.0]"
22,dd11791_5_dd11339_1,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']",Yes. I'd like a cup of onion soup.,"[1.0, 1.0, 3.0]"
23,dd11791_5_dd13013_9,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']",Here's your change. Thank you.,"[2.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
24,dd11791_5_dd11210_1,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']","Yes, I'm in a bit of a rush. Could I have a piece of apple pie please?","[2.0, 1.0, 1.0, 1.0]"
25,dd11791_5_dd11230_2,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']",I'm not sure. I don't know very much about the price of pearls.,"[1.0, 1.0, 1.0, 1.0]"
26,dd11791_5_dd12050_0,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']",Good morning. I'm from the New York book review. Could I ask you some questions about your latest book?,"[1.0, 1.0, 1.0]"
27,dd11791_5_dd11350_3,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']","I passed the Band two in LPT, but I will try to achieve Band one which is the highest level.","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
28,dd11791_5_dd11773_4,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']","You can audition music on line, and you can audition it off line after downloading it, so you needn't pay for it.","[1.0, 1.0, 1.0, 1.0, 1.0]"
29,dd11791_5_dd11257_5,0.0,"['My brother, here, this is an invitation letter from him. I will stay with him and his family in their home.']","Well, I suggest that we discuss only the clauses and points where we have different opinions just to save time.","[2.0, 1.0, 1.0]"
30,dd11421_3_dd11421_5,1.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]","Ok, go ahead.","[5.0, 4.0, 4.0]"
31,dd11421_3_dd12574_6,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]","Well, I think the cable is better.","[1.0, 1.0, 1.0, 2.0]"
32,dd11421_3_dd11339_0,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]",May I take your order?,"[1.0, 1.0, 1.0, 1.0, 1.0]"
33,dd11421_3_dd11624_3,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]","Yes, I never seem to have any energy.","[4.0, 4.0, 5.0]"
34,dd11421_3_dd12638_0,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]",Excuse me. What's the actual flight time from here to San Francisco?,"[1.0, 1.0]"
35,dd11421_3_dd12145_3,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]",Yes.Here they are. I'Ve marked how many prints I want on each shot.,"[1.0, 1.0, 1.0]"
36,dd11421_3_dd12194_0,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]",What are we going to do? I can't get the car out of this ditch. I'm stuck!,"[2.0, 1.0, 1.0, 1.0]"
37,dd11421_3_dd11816_5,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]",The longest race we run is the 1500 meters. A few of the boys and one girls can do it in less than five minutes.,"[2.0, 3.0, 3.0, 3.0]"
38,dd11421_3_dd11442_4,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]","Group companies can use this to make their arrangement of funds flexible, when dealing with their subsidiaries.","[1.0, 1.0, 1.0]"
39,dd11421_3_dd11500_0,0.0,"['Yes, my whole body feels weak. And I really feel terrible.', ""I'm sorry to hear that. I'll have to examine you.""]","Jeff, look at this listing! It says there is a cozy studio apartment for rent, and it's only $ 700 per month. What do you think?","[1.0, 1.0, 1.0, 1.0]"
40,dd11170_6_dd11170_7,1.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]","Well, I guess I will have to drive back down then. Hmm. I didn't think of that.","[5.0, 3.0, 4.0, 5.0, 4.0]"
41,dd11170_6_dd11513_0,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]",what did you do last night?,"[2.0, 1.0, 1.0, 1.0, 1.0]"
42,dd11170_6_dd12912_0,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]","Doctor, what is the best way to stay healthy?","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
43,dd11170_6_dd11880_2,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]","No, seriously. I am impressed.","[2.0, 2.0, 1.0, 1.0]"
44,dd11170_6_dd11652_5,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]","Everything that you see on the walls, floors, and windows is brand new.","[1.0, 1.0, 2.0]"
45,dd11170_6_dd12946_2,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]","No, I haven't. I need help quick. It hurts really badly.","[1.0, 3.0, 1.0, 1.0, 1.0]"
46,dd11170_6_dd11792_4,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]","First of all, we'll design a custom-made work-out plan according to your habits.","[1.0, 1.0, 1.0]"
47,dd11170_6_dd12499_6,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]","I might get one too, but in a different color. I prefer light blue to white 。","[3.0, 2.0, 1.0]"
48,dd11170_6_dd12016_10,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]",No way. I'm watching Ally McNeal. Go to John's to watch the game.,"[3.0, 1.0, 1.0]"
49,dd11170_6_dd11825_2,0.0,"[""No, sir. That's only with the very big companies. I'm sorry, but this car must be returned to this lot.""]","Yes, they were supposed to, but so far nobody's turned up, and I have to do the work alone. This is the first break I've had all day.","[2.0, 1.0, 1.0, 4.0]"
50,dd12419_11_dd12419_12,1.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']",OK! We will. Bye!,"[4.0, 4.0, 4.0]"
51,dd12419_11_dd11246_2,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']","What's your name, please?","[4.0, 3.0, 4.0, 4.0, 3.0]"
52,dd12419_11_dd12718_10,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']",What's the next thing I need to do?,"[4.0, 5.0]"
53,dd12419_11_dd11555_1,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']",No. I am a transit passenger going to Sweden.,"[1.0, 1.0, 1.0, 2.0, 1.0, 1.0]"
54,dd12419_11_dd11157_2,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']","Hi, this is Kalina from your morning literature class.","[1.0, 1.0, 1.0, 1.0, 1.0]"
55,dd12419_11_dd12794_1,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']","First, you fill out the application form and then we'll issue you a passbook.","[2.0, 4.0, 2.0, 1.0]"
56,dd12419_11_dd12450_4,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']","A T-I-M-E, Time Deposit. You can chose from 5 different grades","[1.0, 2.0, 1.0, 1.0]"
57,dd12419_11_dd11789_3,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']","well, since my husband and I are from two different countries, and we live in a third country, we decided to have one in each country. It wasn't actually that expensive.","[1.0, 1.0, 3.0, 4.0, 1.0]"
58,dd12419_11_dd11722_5,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']","I'll have another cup of beer insist. I know I don't like to drink alone, especially there are someone sitting there next to me.","[1.0, 1.0, 1.0, 1.0]"
59,dd12419_11_dd11590_1,0.0,"['Yes, so far as we know, in the field, your company has lots of experience and we hope you will consider the tender seriously.']","Well, on weekdays I get up around ten. Then I read the paper for an hour and have lunch at about noon.","[1.0, 1.0, 1.0, 1.0, 2.0]"
60,dd12237_2_dd12237_4,1.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']","I promise if you lend me five dollars today, I will repay you in full next week.","[5.0, 5.0, 5.0, 5.0]"
61,dd12237_2_dd12192_5,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']","My pleasure, bye!","[1.0, 2.0]"
62,dd12237_2_dd11520_0,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']",What kind of place shall we rent?,"[1.0, 1.0, 1.0]"
63,dd12237_2_dd12093_6,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']","Ouch, that sounds bad. What did your sister do?","[1.0, 1.0]"
64,dd12237_2_dd11327_1,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']",It is 15 minutes'drive.,"[1.0, 1.0, 3.0, 1.0]"
65,dd12237_2_dd11796_7,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']","And I'm trying to watch the game, but you're yapping on about your new clothes!","[2.0, 1.0, 3.0, 3.0]"
66,dd12237_2_dd12163_3,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']",More and more people easily get irritated while driving.,"[1.0, 1.0, 1.0]"
67,dd12237_2_dd11432_4,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']",Here's the swimming pool. It's open from 10 a. m. to 11 p. m. There are also massage rooms here.,"[1.0, 2.0, 1.0, 1.0]"
68,dd12237_2_dd12462_3,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']",He seems to be quite qualified. If it is a personal problem I preferred if you would work out between yourselves.,"[3.0, 1.0, 1.0, 1.0]"
69,dd12237_2_dd12132_7,0.0,"[""Come on! I'll pay you back on Tuesday."", 'Last time I lent you money, you never paid me back.']",That obviously depends on how things go - - whether I'm suited to the firm and the firm to me.,"[2.0, 1.0, 2.0, 1.0]"
70,dd11495_6_dd11495_7,1.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]",Good idea!,"[5.0, 5.0, 5.0, 5.0]"
71,dd11495_6_dd11500_4,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]",It says it's located in the suburbs.,"[3.0, 1.0, 2.0]"
72,dd11495_6_dd11979_1,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]",What is it? What happened?,"[2.0, 2.0, 2.0, 1.0]"
73,dd11495_6_dd12319_4,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]",OK.Goodbye.,"[2.0, 4.0, 3.0, 3.0, 3.0]"
74,dd11495_6_dd12847_8,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]","Yes, it is. It was just painted and it has all the modern conveniences.","[1.0, 1.0, 1.0, 2.0]"
75,dd11495_6_dd12233_7,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]",They do the work without charge to the importer.,"[3.0, 2.0, 1.0, 1.0, 1.0]"
76,dd11495_6_dd12631_5,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]","Yes, sir. You're booked on Flight 201, leaving in one hour.","[1.0, 2.0, 2.0, 3.0, 4.0]"
77,dd11495_6_dd12131_6,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]","I am sorry, sir. I have to give you a ticket. You can appeal to the court within 14 days. You will avoid paying the fine if you can prove that you are not at fault.","[1.0, 1.0, 1.0, 1.0, 1.0]"
78,dd11495_6_dd13033_1,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]","Wow, fantastic. I like the font and color for his name. It is creative yet personal.","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
79,dd11495_6_dd11909_3,0.0,"[""Well, let's see if we can find some cheap airfare and we can go towards the end of the year.""]","I have so much house work to do. I have to take care of the kids, cook, clean, laundry, and the cycle never ends.","[1.0, 1.0, 3.0, 2.0]"
80,dd12511_3_dd12511_6,1.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']",I already had a burger yesterday.,"[5.0, 5.0, 5.0, 5.0]"
81,dd12511_3_dd11857_1,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']",Why? They are fine.,"[1.0, 4.0, 2.0]"
82,dd12511_3_dd11369_8,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']",Thanks.,"[1.0, 3.0, 1.0]"
83,dd12511_3_dd12934_6,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']","Yeah, that would be great. Thanks.","[5.0, 5.0, 5.0]"
84,dd12511_3_dd12052_2,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']",I hoped you would be willing to brainstorm with me for party ideas.,"[4.0, 3.0, 3.0, 1.0]"
85,dd12511_3_dd12549_3,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']",I surely will. How much is this wood carving?,"[1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
86,dd12511_3_dd13035_0,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']","How are you, Kim? I haven't seen you around for a few days.","[2.0, 1.0, 1.0, 1.0]"
87,dd12511_3_dd12727_3,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']","Let me check... His flight's at 2:30 p. m., so he should leave no later than 12 noon.","[1.0, 1.0, 3.0]"
88,dd12511_3_dd11679_1,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']",If that's the case. there's not much point in further discussion. We might as well call the whole deal off.,"[1.0, 3.0, 1.0]"
89,dd12511_3_dd12765_6,0.0,"['I ate pizza the other day.', 'So, what do you feel like eating then?', 'How about some burgers?']","Well, coffee isn't such a bad thing.Everyone has to have something.For me, it's cigars. Are you a cigar smoker?","[1.0, 1.0, 1.0, 1.0]"
90,dd12341_2_dd12341_4,1.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']",Yes.It' s quite troublesome.,"[5.0, 5.0, 5.0]"
91,dd12341_2_dd12503_4,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']","Well, not fully automated.","[1.0, 1.0, 1.0]"
92,dd12341_2_dd12840_1,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']","Yeah, that was close.",[2.0]
93,dd12341_2_dd11820_11,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']",Thanks a lot for your help.,"[5.0, 5.0]"
94,dd12341_2_dd11467_5,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']",Okay. Then I recommend this one. It's made especially for men about your age.,"[1.0, 1.0, 1.0]"
95,dd12341_2_dd12769_5,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']","Well, that depends on the rate. How much is the RIB trading at today?","[1.0, 1.0, 1.0, 3.0]"
96,dd12341_2_dd12223_7,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']",Hang on. are you sure you want to keep a non-traditional pet?,"[1.0, 1.0, 1.0, 1.0, 1.0, 2.0, 1.0]"
97,dd12341_2_dd11534_7,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']","Oh, you must know the ones I mean. They were on sale, a real bargain. Reduced to a quarter of the original price. I couldn't believe my eyes when I saw them.","[1.0, 1.0, 1.0, 1.0]"
98,dd12341_2_dd11225_6,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']","Yes, stay in bed and drink a lot of water. Your fever will be gone in a day or two.","[1.0, 3.0, 1.0, 2.0]"
99,dd12341_2_dd12770_2,0.0,"['But I am a transfer passenger. I have a connecting flight to Miami.', 'So you have to bring your baggage to the transfer check-in area.']",He'll get used to it. They always do. I still remember when my daughter started. Are you going with him on his first day?,"[1.0, 2.0, 1.0, 1.0, 1.0]"
